,,Q1,,,,,,,,,Q2,,Q3,,,,,,,,,Q4,,,,,,,,,
ID,ORIGINE,AUCUNE,P,ST,IMP,PT,AV,PM,PL,AMC,COMPREHENSION_METHODE,IMPORTANCE,AUCUNE,P,ST,IMP,PT,AV,PM,PL,AMC,CHOIX,AUCUNE,P,ST,IMP,PT,AV,PM,PL,AMC
1,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
2,HTP,NA,P,NA,NA,NA,NA,PM,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
3,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
4,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
5,HTP,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
6,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,NON,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
7,HTP,NA,P,NA,IMP,PT,NA,PM,PL,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
8,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
9,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
10,HTP,NA,P,ST,IMP,PT,NA,PM,PL,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,NA,NA,NA,PT,NA,NA,NA,NA
11,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
12,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
13,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
14,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
15,HTP,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
16,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,NA,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
17,CMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
19,CMCO,NA,O,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
20,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
21,CMCO,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
22,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
23,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
24,CMCO,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
25,CMCO,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NON,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
26,HTP,NA,P,ST,IMP,PT,AV,PM,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA
27,HTP,NA,NA,ST,IMP,NA,NA,PM,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
28,HTP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,HTP,NA,P,ST,NA,NA,NA,PM,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
30,HTP,NA,P,NA,IMP,NA,NA,PM,PL,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,NON,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
31,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
32,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
33,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
34,HTP,NA,P,ST,IMP,NA,NA,NA,PL,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
35,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
36,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
37,CMCO,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
38,CMCO,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
39,HTP,NA,P,ST,IMP,PT,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
40,HTP,NA,P,ST,IMP,PT,AV,PM,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
41,HTP,NA,P,ST,IMP,NA,NA,PM,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
42,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
43,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
44,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
45,HTP,NA,P,NA,NA,NA,NA,PM,PL,NA,OUI,NON,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
46,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
47,HTP,NA,P,ST,IMP,PT,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
48,HTP,NA,P,ST,NA,NA,NA,NA,PL,NA,OUI,OUI,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
49,HTP,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,PM,NA,NA,OUI,NA,NA,NA,NA,NA,NA,PM,NA,NA
50,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
51,HTP,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
52,HTP,NA,P,NA,NA,NA,NA,PM,PL,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
53,HTP,NA,P,ST,IMP,PT,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
54,HTP,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
55,CMCO,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,CMCO,NA,P,ST,IMP,PT,AV,PM,PL,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
57,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
58,CMCO,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,NON,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,P,ST,NA,NA,NA,NA,NA,NA
59,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
60,CMCO,NA,P,ST,IMP,NA,NA,NA,PL,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
61,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,HTP,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
63,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,NON,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
64,HTP,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
65,HTP,NA,P,ST,IMP,NA,NA,PM,NA,AMC,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA
66,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
67,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
68,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,CMCO,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
70,CMCO,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
71,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
72,HTP,NA,P,ST,IMP,NA,NA,PM,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
74,HTP,NA,P,ST,IMP,NA,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
75,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,NA,NA,AV,NA,NA,NA,OUI,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
76,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
77,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
78,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,CMCO,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
80,CMCO,NA,P,ST,IMP,NA,NA,NA,PL,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
